datetime_kst,n_sites_high_err,n_sites_total,max_z,mean_residual
2025-09-26 10:00:00,2,8,2.3383381,0.05105066
2025-09-27 13:00:00,2,8,3.4078233,0.05643576
2025-09-27 14:00:00,2,8,5.1192236,-0.006025644
2025-09-28 13:00:00,2,8,3.2740016,0.03391988
2025-09-28 15:00:00,2,8,2.8194811,0.04342334
2025-10-01 08:00:00,2,8,2.9684615,0.0022016931
2025-10-01 09:00:00,2,8,3.4140234,0.014093608
2025-12-28 15:00:00,2,8,6.2828445,-0.050076753
2025-10-04 13:00:00,2,8,2.723984,0.0913795
2025-10-04 16:00:00,2,8,2.889708,0.051699918
2025-10-04 17:00:00,2,8,2.4804568,0.0085206535
2025-10-05 14:00:00,2,8,2.3003,0.08516647
2025-10-05 15:00:00,2,8,2.4549875,0.028005507
2025-10-05 16:00:00,2,8,7.0346165,0.028178148
2025-10-05 17:00:00,2,8,5.110676,0.012360631
2025-10-07 12:00:00,2,8,2.6958313,0.061808713
2025-10-07 13:00:00,2,8,2.6220574,0.04985251
2025-10-09 10:00:00,2,8,4.798824,0.0498883
2025-10-09 11:00:00,2,8,3.5339165,0.047439
2025-10-09 13:00:00,2,8,4.1021967,0.033765964
2025-10-11 10:00:00,2,8,3.0497096,0.002914939
2025-10-11 11:00:00,2,8,2.8809516,0.048086062
2025-10-12 14:00:00,2,8,2.2506628,0.00850505
2025-07-02 08:00:00,2,8,2.5745463,-0.021899872
2025-10-22 14:00:00,2,8,4.9126887,-0.012773944
2025-12-29 10:00:00,2,8,3.826478,-0.026425429
2025-10-23 17:00:00,2,8,2.3206053,-0.013112152
2025-10-24 09:00:00,2,8,2.6446528,0.03620609
2025-10-24 16:00:00,2,8,2.6634943,0.01768907
2025-10-24 17:00:00,2,8,2.6436865,-0.0021248562
2025-10-25 17:00:00,2,8,2.7008848,0.032009535
2025-10-26 17:00:00,2,8,3.8444843,-0.040397536
2025-10-27 16:00:00,2,8,4.4570694,-0.015691526
2025-10-28 15:00:00,2,8,4.8253117,0.001804579
2025-10-29 12:00:00,2,8,7.01921,-0.016643614
2025-10-30 09:00:00,2,8,3.3083663,0.006584595
2025-12-29 11:00:00,2,8,3.5738804,-0.049656592
2025-10-31 10:00:00,2,8,3.1718194,-0.027877353
2025-11-01 09:00:00,2,8,2.6219397,0.018246768
2025-11-01 16:00:00,2,8,5.068475,-0.0527004
