datetime_kst,actual_kwh,pred_kwh,sigma_kwh2,cap_kw,n_sites,sigma_kwh,residual_kwh,abs_err_kwh,nmae_pct
2025-03-07 15:00:00,44762.3039727509,45950.212786734104,9888245.818460776,77281,8,3144.5581276962866,-1187.908813983202,1187.908813983202,1.5371291960290394
2025-03-07 16:00:00,38522.74901032448,36573.28232425451,16775569.988652162,77281,8,4095.799065951864,1949.4666860699654,1949.4666860699654,2.5225691775080104
2025-03-07 17:00:00,21773.96033550799,20928.72030930221,10797058.22062147,77281,8,3285.8877370691575,845.2400262057781,845.2400262057781,1.0937229412220058
2025-03-07 18:00:00,9019.370844453573,6952.41261453554,2315785.658426958,77281,8,1521.7705669472512,2066.958229918033,2066.958229918033,2.674600781457322
2025-03-08 08:00:00,2541.4181106574833,555.9877428226173,1201985.7548599371,71788,7,1096.351109298448,1985.430367834866,1985.430367834866,2.765685585104566
2025-03-08 09:00:00,16834.58526585251,9772.66888076067,6047879.770229363,77281,8,2459.2437394917492,7061.916385091841,7061.916385091841,9.137972315435672
2025-03-08 10:00:00,19622.218630969524,15044.597576379776,14920147.606589876,77281,8,3862.66069006713,4577.621054589748,4577.621054589748,5.923346041834019
2025-03-08 11:00:00,15561.476041033864,14210.700289338827,12376266.122978266,77281,8,3517.9917741487498,1350.775751695037,1350.775751695037,1.7478756119810004
2025-03-08 12:00:00,21698.886429801583,16282.5501088202,14389196.028344281,77281,8,3793.3093768297203,5416.336320981383,5416.336320981383,7.008626080124977
2025-03-08 13:00:00,23243.88645991683,17661.307397142053,18232792.637055404,77281,8,4269.987428208121,5582.579062774777,5582.579062774777,7.223740716055405
2025-03-08 14:00:00,16846.418822288513,16447.771021291614,15858530.575633608,77281,8,3982.2770591250437,398.6478009968996,398.6478009968996,0.5158419288012572
2025-03-08 15:00:00,19758.152913823724,22469.945095300674,28554661.634443685,77281,8,5343.65620473882,-2711.7921814769506,2711.7921814769506,3.5090024475316706
2025-03-08 16:00:00,21629.304480329156,23897.956491798162,31314402.75104861,77281,8,5595.927336112274,-2268.6520114690065,2268.6520114690065,2.93558832244537
2025-03-08 17:00:00,13740.149468645453,14418.959894180298,15031266.430418491,77281,8,3877.01772376894,-678.8104255348444,678.8104255348444,0.8783665138065558
2025-03-08 18:00:00,7107.2980403751135,6949.181512057781,3250327.9328277144,77281,8,1802.8665876397272,158.11652831733227,158.11652831733227,0.2045994854069335
2025-03-09 08:00:00,3828.034994184971,3614.5835608989,1959759.7283815097,77281,8,1399.9141860776715,213.45143328607082,213.45143328607082,0.2762016967767897
2025-03-09 09:00:00,17230.52434604615,15303.741248711944,8369399.437588247,77281,8,2892.9914340675546,1926.783097334206,1926.783097334206,2.4932170874266713
2025-03-09 10:00:00,35016.322641432285,33403.518927544355,12993027.840955533,77281,8,3604.58428129452,1612.80371388793,1612.80371388793,2.0869343226510138
2025-03-09 11:00:00,47841.33277770877,47409.446000903845,5415787.752477708,77281,8,2327.184511910843,431.886776804924,431.886776804924,0.5588524693067171
2025-03-09 12:00:00,56262.97553795576,55310.921736598015,6561240.917332741,77281,8,2561.4919319280984,952.0538013577461,952.0538013577461,1.2319377354818728
2025-03-09 13:00:00,59187.025542616844,56606.93554332852,9590889.750590704,77281,8,3096.916167833851,2580.0899992883205,2580.0899992883205,3.3385825743563364
2025-03-09 14:00:00,58342.47132975608,57191.15158253908,7222885.617796438,77281,8,2687.5426727396234,1151.3197472169995,1151.3197472169995,1.4897837077897536
2025-03-09 15:00:00,51694.09421940148,52214.27761310339,5355873.55171246,77281,8,2314.276031875295,-520.183393701911,520.183393701911,0.6731064475122099
2025-03-09 16:00:00,40617.250735744834,41719.29192471504,6499309.387624272,77281,8,2549.3743129686295,-1102.0411889702082,1102.0411889702082,1.4260182825923684
2025-03-09 17:00:00,25648.524931132793,27340.53514122963,9225202.200279882,77281,8,3037.301796048572,-1692.010210096836,1692.010210096836,2.189425874531691
2025-03-09 18:00:00,10116.144136920571,9026.428510323167,1917230.9760122988,77281,8,1384.6411000733362,1089.7156265974045,1089.7156265974045,1.410069262299148
2025-03-10 08:00:00,4621.192870050669,4149.650466520339,2015301.597301722,77281,8,1419.6131858015838,471.54240353032947,471.54240353032947,0.6101660220886498
2025-03-10 09:00:00,18514.86092042923,16252.08974468708,9775525.279492259,77281,8,3126.583643450509,2262.7711757421494,2262.7711757421494,2.9279786438350297
2025-03-10 10:00:00,31561.263215512037,30669.126554712653,24453662.502680574,77281,8,4945.064458900468,892.1366607993841,892.1366607993841,1.1544062069582228
2025-03-10 11:00:00,44370.796317487955,42650.66387736797,13695458.944140978,77281,8,3700.737621629096,1720.1324401199818,1720.1324401199818,2.225815452853847
2025-03-10 12:00:00,38700.36487138271,39309.57738143206,23423663.27725663,77281,8,4839.799921200941,-609.2125100493431,609.2125100493431,0.7883082647084576
2025-03-10 13:00:00,41937.36654472351,42597.05322149396,18323229.847860597,77281,8,4280.564197376392,-659.6866767704487,659.6866767704487,0.8536207823015343
2025-03-10 14:00:00,27626.49362143874,32127.930416703224,27845397.35362082,77281,8,5276.873823924618,-4501.4367952644825,4501.4367952644825,5.82476520136189
2025-03-10 15:00:00,26375.57763889432,27210.54651287198,30950634.875103712,77281,8,5563.32947748951,-834.9688739776611,834.9688739776611,1.0804322847500176
2025-03-10 16:00:00,23228.106531858444,25150.870952486992,30873358.917320974,77281,8,5556.380019160044,-1922.7644206285477,1922.7644206285477,2.488017003698901
2025-03-10 17:00:00,21982.411297254264,16311.49398112297,16793478.646444216,77281,8,4097.984705491739,5670.917316131294,5670.917316131294,7.338048570969959
2025-03-10 18:00:00,9828.482969105244,8039.410423737019,2606400.4032864375,77281,8,1614.435010549027,1789.0725453682244,1789.0725453682244,2.315022509243183
2025-03-11 08:00:00,4958.568959657103,4175.763538505882,2052047.9766733139,77281,8,1432.4971122739878,782.8054211512208,782.8054211512208,1.012933866217079
2025-03-11 09:00:00,21531.394412472844,17489.419495418668,9669798.753694857,77281,8,3109.630002700459,4041.9749170541763,4041.9749170541763,5.230231126737719
