mode,horizon_h,regime,spread_80,spread_95
B,11,clear,1.056286166722436,1.3529024196463344
B,11,mild,0.9540005208197607,1.1878375392513512
B,11,heavy,0.8050868005824031,1.0319273467774612
B,12,clear,1.1150459484338997,1.4125097439301744
B,12,mild,0.9344018686387833,1.207738022792698
B,12,heavy,0.8176609458146196,1.0307904253266897
B,13,clear,1.1215656034203867,1.394100737758253
B,13,mild,0.9793489546960625,1.2677478090787404
B,13,heavy,0.821952203205039,1.0316861488329698
B,14,clear,1.1079543509056262,1.2963906549942754
B,14,mild,0.9354081705689937,1.1942413024010292
B,14,heavy,0.8217991159341081,1.0830750726326537
B,15,clear,1.0966837344954738,1.1773962317399251
B,15,mild,0.967723371695732,1.1965587085858918
B,15,heavy,0.8106448689015069,1.0627687511095143
B,16,clear,1.1141644672843567,1.155724743268852
B,16,mild,1.0542889287216086,1.152280370144834
B,16,heavy,0.8048198300314795,0.9975847878639584
B,17,clear,1.179413239810902,1.181137982816923
B,17,mild,1.1033681793805004,1.0534598046030474
B,17,heavy,0.8167970737880748,1.0230791909763433
B,8,clear,1.0295285838163053,1.2583395039313243
B,8,mild,0.928150679749648,1.159425421935951
B,8,heavy,0.8408513039243399,1.0590890253220924
B,7,clear,1.0190757248886737,1.2455639356370756
B,7,mild,0.928150679749648,1.139619465023156
B,7,heavy,0.8464622591081439,1.035458327585375
B,6,clear,1.0160673400621336,1.2497514594094348
B,6,mild,0.9389802829271328,1.1382188503794026
B,6,heavy,0.8495718145295126,1.0600278425852567
B,5,clear,1.0287005073555886,1.2737317620571709
B,5,mild,0.9601036034000986,1.1433484131399616
B,5,heavy,0.8468475719556402,1.0600278425852567
B,4,clear,1.0274592617778961,1.2988527212208218
B,4,mild,0.9730592556628547,1.2135329418591898
B,4,heavy,0.8482282160072239,1.0498697381018915
B,3,clear,1.0375996287795792,1.3717857563826332
B,3,mild,0.9827947665383027,1.2414424964017088
B,3,heavy,0.8587940063202754,1.0567311373733712
B,2,clear,1.0545687196798694,1.4476451138710518
B,2,mild,1.031943371694885,1.3094192337960477
B,2,heavy,0.8498693743740108,1.0533932639892893
B,1,clear,1.0731257473687408,1.615474961937629
B,1,mild,0.9949365782108742,1.312817041256533
B,1,heavy,0.8387239341477902,1.0575386005767662
B,18,clear,1.3105675905699699,1.1929856958118663
B,18,mild,1.151708741058398,1.075115714411036
B,18,heavy,1.0146115000904503,1.0339862341703574
B,19,clear,1.2520054506785452,1.1126322069990164
B,19,heavy,1.0727505753535442,1.1079237931021941
Bp,9,clear,1.047389886533982,1.2837734094614923
Bp,9,mild,0.9271561602431293,1.141967982156295
Bp,9,heavy,0.823409604081113,1.05264565314225
Bp,10,clear,1.0394397581226167,1.3031991049955916
Bp,10,mild,0.9389802829271328,1.1763426087847615
Bp,10,heavy,0.8194457946663968,1.0285495191083627
Bp,11,clear,1.056286166722436,1.3529024196463344
Bp,11,mild,0.9540005208197607,1.1878375392513512
Bp,11,heavy,0.8050868005824031,1.0319273467774612
Bp,12,clear,1.1150459484338997,1.4125097439301744
Bp,12,mild,0.9344018686387833,1.207738022792698
Bp,12,heavy,0.8176609458146196,1.0307904253266897
Bp,13,clear,1.1215656034203867,1.394100737758253
Bp,13,mild,0.9793489546960625,1.2677478090787404
Bp,13,heavy,0.821952203205039,1.0316861488329698
Bp,14,clear,1.1079543509056262,1.2963906549942754
Bp,14,mild,0.9354081705689937,1.1942413024010292
Bp,14,heavy,0.8217991159341081,1.0830750726326537
Bp,15,clear,1.0966837344954738,1.1773962317399251
Bp,15,mild,0.967723371695732,1.1965587085858918
Bp,15,heavy,0.8106448689015069,1.0627687511095143
Bp,16,clear,1.1141644672843567,1.155724743268852
Bp,16,mild,1.0542889287216086,1.152280370144834
Bp,16,heavy,0.8048198300314795,0.9975847878639584
Bp,17,clear,1.179413239810902,1.181137982816923
Bp,17,mild,1.1033681793805004,1.0534598046030474
Bp,17,heavy,0.8167970737880748,1.0230791909763433
Bp,8,clear,1.0295285838163053,1.2583395039313243
Bp,8,mild,0.928150679749648,1.159425421935951
Bp,8,heavy,0.8453156954241774,1.061770972675382
Bp,7,clear,1.0190757248886737,1.2455639356370756
Bp,7,mild,0.928150679749648,1.139619465023156
Bp,7,heavy,0.8464622591081439,1.036847135717962
Bp,6,clear,1.0138542832576423,1.2497514594094348
Bp,6,mild,0.9389802829271328,1.1382188503794026
Bp,6,heavy,0.8464622591081439,1.0516073299764572
Bp,5,clear,1.0274592617778961,1.2642293852127375
Bp,5,mild,0.9601036034000986,1.1426878324484924
Bp,5,heavy,0.8464622591081439,1.0370546582416067
Bp,4,clear,1.0246635356416998,1.285456313228854
Bp,4,mild,0.962741943936014,1.19287881204209
Bp,4,heavy,0.8464622591081439,1.0566594819287907
Bp,3,clear,1.0324638782395268,1.3717857563826332
Bp,3,mild,0.9697067816086851,1.2323954722954795
Bp,3,heavy,0.8464622591081439,1.0587699499308434
Bp,2,clear,1.0545687196798694,1.4454450032525852
Bp,2,mild,0.9829643261851778,1.273369904799906
Bp,2,heavy,0.8464622591081439,1.0574136721668892
Bp,1,clear,1.0770152365117736,1.615474961937629
Bp,1,mild,0.9898298155587881,1.2791557600385908
Bp,1,heavy,0.8537388917057839,1.051383660039039
Bp,18,clear,1.3105675905699699,1.1929856958118663
Bp,18,mild,1.151708741058398,1.075115714411036
Bp,18,heavy,1.0146115000904503,1.0339862341703574
Bp,19,clear,1.2520054506785452,1.1126322069990164
Bp,19,heavy,1.0727505753535442,1.1079237931021941
