site,unit,date,total_kwh,avg_kw,max_hour_kw,min_hour_kw
경상대태양광,1,2022-05-18,4871.52,203,624.24,1.44
경상대태양광,1,2022-05-19,3622.32,151,557.28,1.44
경상대태양광,1,2022-05-20,3521.52,147,537.12,4.32
경상대태양광,1,2022-05-21,4116.24,172,609.12,1.44
경상대태양광,1,2022-05-22,4713.12,196,601.2,2.16
경상대태양광,1,2022-05-23,4181.04,174,574.56,2.16
경상대태양광,1,2022-05-24,4698.72,196,588.96,2.16
경상대태양광,1,2022-05-25,4697.28,196,606.24,1.44
경상대태양광,1,2022-05-26,4936.32,206,637.2,3.6
경상대태양광,1,2022-05-27,4372.56,182,612.0,1.44
경상대태양광,1,2022-05-28,3924.0,164,477.36,6.48
경상대태양광,1,2022-05-29,5019.84,209,614.88,2.88
경상대태양광,1,2022-05-30,3148.56,131,467.28,1.44
경상대태양광,1,2022-05-31,4986.0,208,619.2,2.16
경상대태양광,1,2022-06-01,4746.96,198,603.36,1.44
경상대태양광,1,2022-06-02,4943.52,206,617.76,3.6
경상대태양광,1,2022-06-03,4660.56,194,584.64,0.72
경상대태양광,1,2022-06-04,4083.12,170,564.48,2.16
경상대태양광,1,2022-06-05,521.28,22,132.48,1.44
경상대태양광,1,2022-06-06,3715.92,155,469.44,1.44
경상대태양광,1,2022-06-07,1586.88,66,296.64,2.88
경상대태양광,1,2022-06-08,2916.0,122,444.96,0.72
경상대태양광,1,2022-06-09,4493.52,187,585.36,3.6
경상대태양광,1,2022-06-10,3759.12,157,527.04,4.32
경상대태양광,1,2022-06-11,3368.16,140,587.52,9.36
경상대태양광,1,2022-06-12,3862.8,161,551.52,2.16
경상대태양광,1,2022-06-13,2061.36,86,285.12,2.16
경상대태양광,1,2022-06-14,933.12,39,116.64,0.72
경상대태양광,1,2022-06-15,4145.76,173,596.88,2.88
경상대태양광,1,2022-06-16,4520.88,188,614.16,5.04
경상대태양광,1,2022-06-17,4185.36,174,598.32,0.72
경상대태양광,1,2022-06-18,4346.64,181,594.0,3.6
경상대태양광,1,2022-06-19,4678.56,195,594.0,5.04
경상대태양광,1,2022-06-20,3806.64,159,478.8,2.16
경상대태양광,1,2022-06-21,4174.56,174,564.48,5.04
경상대태양광,1,2022-06-22,4596.48,192,577.44,2.88
경상대태양광,1,2022-06-23,2368.8,99,484.56,0.72
경상대태양광,1,2022-06-24,3008.16,125,488.88,0.72
경상대태양광,1,2022-06-25,3642.48,152,565.92,3.6
경상대태양광,1,2022-06-26,3285.36,137,477.36,4.32
경상대태양광,1,2022-06-27,1513.44,63,324.72,2.16
경상대태양광,1,2022-06-28,1228.32,51,180.0,2.88
경상대태양광,1,2022-06-29,2618.64,109,555.12,0.72
경상대태양광,1,2022-06-30,4731.84,197,635.04,1.44
경상대태양광,1,2022-07-01,4788.72,200,612.72,2.88
경상대태양광,1,2022-07-02,4302.0,179,526.32,1.44
경상대태양광,1,2022-07-03,4256.64,177,582.48,2.16
경상대태양광,1,2022-07-04,2907.36,121,357.84,3.6
경상대태양광,1,2022-07-05,3050.64,127,492.48,4.32
경상대태양광,1,2022-07-06,3882.96,162,529.2,2.88
경상대태양광,1,2022-07-07,4034.88,168,568.08,1.44
경상대태양광,1,2022-07-08,2127.6,89,311.04,6.48
경상대태양광,1,2022-07-09,3859.2,161,558.0,1.44
경상대태양광,1,2022-07-10,4166.64,174,520.56,1.44
경상대태양광,1,2022-07-11,1208.88,50,261.36,1.44
경상대태양광,1,2022-07-12,2398.32,100,465.12,2.88
경상대태양광,1,2022-07-13,1463.76,61,256.32,0.72
경상대태양광,1,2022-07-14,3582.0,149,552.96,2.88
경상대태양광,1,2022-07-15,4428.72,185,524.16,0.72
경상대태양광,1,2022-07-16,4536.0,189,560.88,3.6
경상대태양광,1,2022-07-17,3587.04,149,570.24,0.72
경상대태양광,1,2022-07-18,328.32,14,48.96,7.2
경상대태양광,1,2022-07-19,3659.76,152,489.6,2.16
경상대태양광,1,2022-07-20,4293.36,179,555.84,0.72
경상대태양광,1,2022-07-21,3229.2,135,473.04,0.72
경상대태양광,1,2022-07-22,3607.92,150,544.32,2.88
경상대태양광,1,2022-07-23,2280.96,95,369.36,8.64
경상대태양광,1,2022-07-24,3875.04,161,597.6,2.16
경상대태양광,1,2022-07-25,4142.88,173,537.84,2.16
경상대태양광,1,2022-07-26,3036.24,127,503.28,0.72
경상대태양광,1,2022-07-27,4166.64,174,567.36,9.36
경상대태양광,1,2022-07-28,2579.04,107,418.32,1.44
경상대태양광,1,2022-07-29,3682.08,153,531.36,0.72
경상대태양광,1,2022-07-30,1535.76,64,219.6,1.44
경상대태양광,1,2022-07-31,678.96,28,120.24,2.16
경상대태양광,1,2022-08-01,947.52,39,136.8,2.16
경상대태양광,1,2022-08-02,2092.32,87,432.0,30.96
경상대태양광,1,2022-08-03,3657.6,152,544.32,1.44
경상대태양광,1,2022-08-04,3526.56,147,507.6,1.44
경상대태양광,1,2022-08-05,3129.84,130,435.6,1.44
경상대태양광,1,2022-08-06,3737.52,156,498.24,19.44
경상대태양광,1,2022-08-07,3803.76,158,530.64,3.6
경상대태양광,1,2022-08-08,3127.68,130,494.64,18.72
경상대태양광,1,2022-08-09,2501.28,104,369.36,0.72
경상대태양광,1,2022-08-10,2088.72,87,447.12,7.92
경상대태양광,1,2022-08-11,918.0,38,123.84,5.04
경상대태양광,1,2022-08-12,3122.64,130,440.64,2.16
경상대태양광,1,2022-08-13,3257.28,136,540.0,14.4
경상대태양광,1,2022-08-14,3795.84,158,577.44,6.48
경상대태양광,1,2022-08-15,3553.2,148,555.12,0.72
경상대태양광,1,2022-08-16,723.6,30,117.36,0.72
경상대태양광,1,2022-08-17,1236.24,52,211.68,7.2
경상대태양광,1,2022-08-18,4153.68,173,606.96,23.76
경상대태양광,1,2022-08-19,3642.48,152,578.88,10.8
경상대태양광,1,2022-08-20,1105.2,46,304.56,10.8
경상대태양광,1,2022-08-21,3494.88,146,488.88,8.64
경상대태양광,1,2022-08-22,4268.16,178,569.52,15.84
경상대태양광,1,2022-08-23,1905.84,79,451.44,10.08
경상대태양광,1,2022-08-24,930.24,39,195.84,2.88
경상대태양광,1,2022-08-25,3993.12,166,565.2,8.64
경상대태양광,1,2022-08-26,4687.2,195,614.16,13.68
경상대태양광,1,2022-08-27,3232.8,135,501.84,5.76
경상대태양광,1,2022-08-28,4227.84,176,606.96,8.64
경상대태양광,1,2022-08-29,2195.28,91,366.48,7.2
경상대태양광,1,2022-08-30,396.0,17,100.8,2.88
경상대태양광,1,2022-08-31,1455.84,61,258.48,1.44
경상대태양광,1,2022-09-01,1566.72,65,223.92,6.48
경상대태양광,1,2022-09-02,276.48,12,64.08,0.72
경상대태양광,1,2022-09-03,1132.56,47,181.44,5.76
경상대태양광,1,2022-09-04,2617.92,109,543.6,5.76
경상대태양광,1,2022-09-05,517.68,22,100.08,2.16
경상대태양광,1,2022-09-06,4196.88,175,623.52,10.8
경상대태양광,1,2022-09-07,4578.48,191,614.16,10.8
경상대태양광,1,2022-09-08,4317.84,180,628.56,10.8
경상대태양광,1,2022-09-09,4075.2,170,618.48,6.48
경상대태양광,1,2022-09-10,1898.64,79,384.48,0.72
경상대태양광,1,2022-09-11,3046.32,127,557.28,9.36
경상대태양광,1,2022-09-12,1716.48,72,277.92,1.44
경상대태양광,1,2022-09-13,2602.8,108,423.36,0.72
경상대태양광,1,2022-09-14,2589.84,108,411.84,4.32
경상대태양광,1,2022-09-15,2334.96,97,362.16,1.44
경상대태양광,1,2022-09-16,2471.04,103,424.8,0.72
경상대태양광,1,2022-09-17,2800.08,117,555.84,0.72
경상대태양광,1,2022-09-18,3245.04,135,565.92,3.6
경상대태양광,1,2022-09-19,3078.0,128,473.04,2.16
경상대태양광,1,2022-09-20,3372.48,141,450.72,6.48
경상대태양광,1,2022-09-21,3793.68,158,496.08,2.16
경상대태양광,1,2022-09-22,3898.8,162,556.56,0.72
경상대태양광,1,2022-09-23,3899.52,162,593.28,2.88
경상대태양광,1,2022-09-24,4137.12,172,634.32,5.76
경상대태양광,1,2022-09-25,1401.12,58,195.12,2.88
경상대태양광,1,2022-09-26,1160.64,48,234.0,0.72
경상대태양광,1,2022-09-27,3955.68,165,587.52,0.72
경상대태양광,1,2022-09-28,2795.76,116,536.4,2.88
경상대태양광,1,2022-09-29,4219.2,176,588.24,3.6
경상대태양광,1,2022-09-30,4157.28,173,580.32,3.6
경상대태양광,1,2022-10-01,4034.16,168,570.96,2.88
경상대태양광,1,2022-10-02,3441.6,143,560.16,1.44
경상대태양광,1,2022-10-03,2314.8,96,431.28,22.32
경상대태양광,1,2022-10-04,1273.68,53,346.32,1.44
경상대태양광,1,2022-10-05,2226.24,93,360.72,10.08
경상대태양광,1,2022-10-06,2355.84,98,460.08,7.92
경상대태양광,1,2022-10-07,2886.552,120,543.02,7.92
경상대태양광,1,2022-10-08,3172.392,132,585.57,0.864
경상대태양광,1,2022-10-09,838.368,35,131.54,7.272
경상대태양광,1,2022-10-10,3873.744,161,615.02,0.576
경상대태양광,1,2022-10-11,4382.352,183,627.76,2.52
경상대태양광,1,2022-10-12,4099.536,171,606.02,2.808
경상대태양광,1,2022-10-13,4014.576,167,609.33,2.376
경상대태양광,1,2022-10-14,4004.208,167,596.16,4.248
경상대태양광,1,2022-10-15,3991.32,166,586.08,3.96
경상대태양광,1,2022-10-16,3915.72,163,575.56,1.8
경상대태양광,1,2022-10-17,3836.592,160,568.58,2.52
경상대태양광,1,2022-10-18,4251.6,177,623.52,0.936
