ÀÏÀÚ,À¯¿¬Åº(Åæ),ºÎ»ý¿¬·áÀ¯(L),¿ìµåÆç¸´(Åæ)
2017-11-28,3250,,448
2017-11-29,3271,,421
2017-11-30,3356,,420
2017-12-01,3456,,402
2017-12-02,3315,,350
2017-12-03,2708,,401
2017-12-04,3189,,402
2017-12-05,3520,,423
2017-12-06,3373,,384
2017-12-07,3422,9330,339
2017-12-08,3398,73600,414
2017-12-09,3235,157530,419
2017-12-10,3147,247970,416
2017-12-11,3308,105500,299
2017-12-12,7156,101900,272
2017-12-13,8081,,120
2017-12-14,8497,,
2017-12-15,8547,,
2017-12-16,8633,,
2017-12-17,7986,,
2017-12-18,8074,,263
2017-12-19,8182,,399
2017-12-20,8343,,356
2017-12-21,8369,,314
2017-12-22,8183,,390
2017-12-23,8130,,359
2017-12-24,7365,,323
2017-12-25,7235,,369
2017-12-26,7746,,373
2017-12-27,8374,,139
2017-12-28,8007,,364
2017-12-29,8099,,365
2017-12-30,8014,,371
2017-12-31,6813,,384
