발전구분, 호기, 일자, 1시 발전량(KWh), 2시 발전량(KWh),3시 발전량(KWh),4시 발전량(KWh),5시 발전량(KWh),6시 발전량(KWh),7시 발전량(KWh),8시 발전량(KWh),9시 발전량(KWh),10시 발전량(KWh),11시 발전량(KWh),12시 발전량(KWh),13시 발전량(KWh),14시 발전량(KWh),15시 발전량(KWh),16시 발전량(KWh),17시 발전량(KWh),18시 발전량(KWh),19시 발전량(KWh),20시 발전량(KWh),21시 발전량(KWh),22시 발전량(KWh),23시 발전량(KWh),24시 발전량(KWh),총량(KW),평균(KW),최대(시간별),최소(시간별),최대,최소
영흥태양광 #3, 3, 2023-04-28 00:00:00, 679.2, 0, 0, 0, 0, 0, 14.88, 152.64, 384.6, 552.72, 100.8, 40.44, 39.72, 242.04, 392.16, 92.28, 138.36, 17.4, 0, 0, 0, 0, 664.8, 739.2, 4251.24, 177, 739.2, 14.88, 739.2, 0, 
영흥태양광, 1, 2023-04-28 00:00:00, 0, 0, 0, 0, 0, 0, 8.64, 100.8, 292.531, 493.325, 641.395, 653.222, 629.798, 637.824, 410.957, 82.714, 130.214, 21.581, 7.45, 0, 0, 0, 0, 0, 4110.451, 171, 653.22, 7.45, 653.222, 0, 
예천태양광, 1, 2023-04-28 00:00:00, 0, 0, 0, 0, 0, 0, 20.16, 224.64, 572.22, 864.72, 1060.92, 1174.5, 1195.2, 1133.82, 1038.96, 880.38, 641.52, 250.56, 0, 0, 0, 0, 0, 0, 9057.6, 377, 1195.2, 20.16, 1195.2, 0, 
여수태양광, 1, 2023-04-28 00:00:00, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 344.22, 344.22, 14, 344.22, 344.22, 344.22, 0, 
영흥태양광, 2, 2023-04-28 00:00:00, 0, 0, 0, 0, 0, 0, 26.034, 152.345, 350.973, 520.674, 649.878, 648.914, 636.379, 650.842, 410.754, 90.636, 131.133, 21.213, 6.749, 0, 0, 0, 0, 0, 4296.524, 179, 650.84, 6.749, 650.842, 0, 
탑선태양광, 1, 2023-04-28 00:00:00, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1249.92, 1249.92, 52, 1249.92, 1249.92, 1249.92, 0, 
탑선태양광, 3, 2023-04-28 00:00:00, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 724.56, 724.56, 30, 724.56, 724.56, 724.56, 0, 
경상대태양광, 1, 2023-04-28 00:00:00, 0, 0, 0, 0, 0, 0.072, 38.088, 160.128, 343.008, 498.672, 588.024, 667.728, 680.328, 654.912, 382.248, 399.096, 47.88, 0, 0, 0, 0, 0, 0, 0, 4460.184, 186, 680.32, 0.072, 680.328, 0, 
영동태양광, 1, 2023-04-27 00:00:00, 0, 0, 0, 0, 0, 0, 4.896, 46.656, 187.872, 408.96, 424.992, 37.824, 37.92, 128.064, 829.632, 715.104, 580.896, 575.136, 691.872, 688.224, 686.688, 131.52, 0, 0, 6176.256, 257, 829.63, 4.89, 829.632, 0, 
삼천포태양광#5, 1, 2023-04-27 00:00:00, 0, 0, 0, 0, 0, 0, 137.4, 781.011, 1710.268, 2465.968, 481.928, 662.255, 717.158, 1710.268, 2979.411, 2332.184, 1337.842, 701.463, 2451.505, 2531.053, 2527.437, 1088.353, 0, 0, 24615.504, 1026, 2979.41, 137.4, 2979.411, 0, 
삼천포태양광#5, 2, 2023-04-27 00:00:00, 0, 0, 0, 0, 0, 0, 221.768, 1316.147, 2892.632, 4175.032, 1242.587, 1623.592, 1708.871, 3283.137, 5091.032, 3987.011, 2314.105, 1219.726, 3929.158, 3837.558, 3842.379, 1533.095, 0, 0, 42217.83, 1759, 5091.03, 221.76, 5091.032, 0, 
광양항세방태양광, 1, 2023-04-27 00:00:00, 0, 0, 0, 0, 0, 0, 110.4, 470.4, 1020, 1480.8, 1812, 2044.8, 2133.6, 2112, 1929.6, 1560, 1029.6, 583.2, 165.6, 0, 0, 0, 0, 0, 16452, 686, 2133.6, 110.4, 2133.6, 0, 
두산엔진MG태양광, 1, 2023-04-27 00:00:00, 0, 0, 0, 0, 0, 0.06, 2.4, 4.68, 12.36, 27.6, 40.92, 53.04, 60.18, 63.9, 62.7, 56.1, 41.4, 29.7, 7.68, 0.12, 0, 0, 0, 0, 462.84, 19, 63.9, 0.06, 63.9, 0, 
삼천포태양광, 1, 2023-04-27 00:00:00, 0, 0, 0, 0, 0, 0, 0.396, 6.576, 22.788, 35.688, 43.536, 47.616, 48.288, 48.432, 46.824, 37.86, 21.972, 11.412, 1.296, 0, 0, 0, 0, 0, 372.684, 16, 48.43, 0.39, 48.432, 0, 
